time,Median,98th percentile (slowest 2%)
2018-06-03 05:37:44,262.144,2013.2659199999998
2018-06-03 05:38:44,251.2213333333333,1960.83712
2018-06-03 05:39:44,208.52363636363634,1978.3133866666667
2018-06-03 05:40:44,183.5008,1971.3228799999997
2018-06-03 05:41:44,190.0544,1656.7500799999982
2018-06-03 05:42:44,215.33257142857144,1908.4083200000002
2018-06-03 05:43:44,210.65142857142854,1978.3133866666667
2018-06-03 05:44:44,210.65142857142854,3481.2723200000005
2018-06-03 05:45:44,212.992,1992.2943999999995
2018-06-03 05:46:44,214.08426666666662,1897.9225600000004
2018-06-03 05:47:44,215.88329411764707,1866.4652799999992
2018-06-03 05:48:44,210.40505263157894,1855.9795199999996
2018-06-03 05:49:44,208.89599999999996,1964.3323733333336
2018-06-03 05:50:44,209.71519999999998,985.6614399999999
2018-06-03 05:51:44,211.17155555555556,1866.4652799999992
2018-06-03 05:52:44,217.3035789473684,1966.08
2018-06-03 05:53:44,211.17155555555556,1866.4652799999992
2018-06-03 05:54:44,210.40505263157894,1936.3703466666661
2018-06-03 05:55:44,212.992,1835.008
2018-06-03 05:56:44,211.17155555555556,1981.8086399999997
2018-06-03 05:57:44,207.53066666666666,1656.7500799999982
2018-06-03 05:58:44,213.70434782608694,1894.427306666667
2018-06-03 05:59:44,209.71519999999998,1845.4937599999996
2018-06-03 06:00:44,212.02823529411762,1987.0515199999995
2018-06-03 06:01:44,211.17155555555556,1943.360853333333
2018-06-03 06:02:44,207.53066666666666,1803.5507200000004
2018-06-03 06:03:44,208.89599999999996,1964.3323733333336
2018-06-03 06:04:44,209.71519999999998,1908.4083200000002
2018-06-03 06:05:44,209.71519999999998,1845.4937599999996
2018-06-03 06:06:44,210.40505263157894,1855.9795199999996
2018-06-03 06:07:44,211.17155555555556,1943.360853333333
2018-06-03 06:08:44,211.50254545454544,1908.4083200000002
2018-06-03 06:09:44,209.71519999999998,1593.8355199999994
2018-06-03 06:10:44,212.992,1966.08
2018-06-03 06:11:44,209.71519999999998,1971.3228799999997
2018-06-03 06:12:44,210.40505263157894,1936.3703466666661
2018-06-03 06:13:44,209.09104761904763,1835.008
2018-06-03 06:14:44,208.52363636363634,1960.83712
2018-06-03 06:15:44,210.40505263157894,1936.3703466666661
2018-06-03 06:16:44,209.71519999999998,1971.3228799999997
2018-06-03 06:17:44,211.50254545454544,1814.0364800000004
2018-06-03 06:18:44,213.85431578947367,1593.8355199999994
2018-06-03 06:19:44,205.97028571428572,1761.6076799999996
2018-06-03 06:20:44,210.65142857142854,989.1566933333334
2018-06-03 06:21:44,210.40505263157894,1936.3703466666661
2018-06-03 06:22:44,212.02823529411762,1656.7500799999982
2018-06-03 06:23:44,206.9557894736842,1866.4652799999992
2018-06-03 06:24:44,211.17155555555556,1635.7785599999986
2018-06-03 06:25:44,211.17155555555556,1943.360853333333
2018-06-03 06:26:44,209.71519999999998,1908.4083200000002
2018-06-03 06:27:44,196.608,1803.5507200000004
2018-06-03 06:28:44,212.992,1922.3893333333333
2018-06-03 06:29:44,208.17317647058823,1677.7216000000012
2018-06-03 06:30:44,209.71519999999998,1971.3228799999997
2018-06-03 06:31:44,210.40505263157894,1976.5657599999997
2018-06-03 06:32:44,211.17155555555556,1943.360853333333
2018-06-03 06:33:44,214.48145454545454,1950.35136
2018-06-03 06:34:44,207.53066666666666,1876.951039999999
2018-06-03 06:35:44,211.17155555555556,1635.7785599999986
2018-06-03 06:36:44,211.17155555555556,1943.360853333333
2018-06-03 06:37:44,209.71519999999998,1971.3228800000002
2018-06-03 06:38:44,209.71519999999998,1908.4083200000002
2018-06-03 06:39:44,208.52363636363634,1960.83712
2018-06-03 06:40:44,212.992,1992.2944000000002
2018-06-03 06:41:44,210.85495652173913,1803.5507200000004
2018-06-03 06:42:44,210.40505263157894,1976.5657599999997
2018-06-03 06:43:44,212.21180952380953,1915.3988266666668
2018-06-03 06:44:44,212.992,1992.2944000000002
2018-06-03 06:45:44,207.53066666666666,1876.951039999999
2018-06-03 06:46:44,209.71519999999998,1908.4083200000002
2018-06-03 06:47:44,209.71519999999998,1908.4083200000002
2018-06-03 06:48:44,210.40505263157894,1976.5657599999997
2018-06-03 06:49:44,211.17155555555556,1866.4652799999992
2018-06-03 06:50:44,211.17155555555556,1635.7785599999986
2018-06-03 06:51:44,210.40505263157894,1855.9795199999996
2018-06-03 06:52:44,209.71519999999998,1908.4083200000002
2018-06-03 06:53:44,209.71519999999998,1593.8355199999994
2018-06-03 06:54:44,209.71519999999998,1887.4368000000006
2018-06-03 06:55:44,210.40505263157894,1855.9795199999996
2018-06-03 06:56:44,208.89599999999996,1964.3323733333336
2018-06-03 06:57:44,209.71519999999998,985.6614400000001
2018-06-03 06:58:44,211.50254545454544,1908.4083200000002
2018-06-03 06:59:44,211.17155555555556,1635.7785599999986
2018-06-03 07:00:44,212.02823529411762,1987.0515199999995
2018-06-03 07:01:44,206.6904615384615,1939.8655999999996
2018-06-03 07:02:44,212.21180952380953,1915.3988266666668
2018-06-03 07:03:44,208.17317647058823,1887.4368000000006
2018-06-03 07:04:44,212.21180952380953,1960.83712
2018-06-03 07:05:44,210.40505263157894,1976.5657599999997
2018-06-03 07:06:44,212.02823529411762,1876.951039999999
2018-06-03 07:07:44,209.71519999999998,1719.6646400000004
2018-06-03 07:08:44,209.71519999999998,1719.6646400000004
2018-06-03 07:09:44,200.97706666666664,1866.4652799999992
2018-06-03 07:10:44,212.02823529411762,1656.7500799999982
2018-06-03 07:11:44,201.28914285714282,1656.7500799999982
