CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
c715a2a42078        producer5           0.60%               54.85MiB / 2GiB     2.68%               12.4MB / 628kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.19%               56.81MiB / 2GiB     2.77%               41MB / 277kB        0B / 15.8MB         6
7d71704d4fc3        producer3           0.40%               55.12MiB / 2GiB     2.69%               12.5MB / 751kB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               68.65MiB / 2GiB     3.35%               46.1MB / 386kB      549MB / 15.8MB      6
ea2d413f4413        storm               45.75%              665.9MiB / 2GiB     32.52%              72.4MB / 2.52MB     663MB / 66.5MB      155
283acd69188f        kafka               1.26%               372.7MiB / 2GiB     18.20%              2.18MB / 3.97MB     61.5MB / 1.31MB     85
c841643e69d3        neo4j               0.35%               699.5MiB / 2GiB     34.16%              11.2kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.62%               55.14MiB / 2GiB     2.69%               12.6MB / 707kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               56.81MiB / 2GiB     2.77%               43.9MB / 293kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.64%               55.33MiB / 2GiB     2.70%               12.8MB / 829kB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.17%               68.68MiB / 2GiB     3.35%               49.2MB / 405kB      549MB / 15.8MB      6
ea2d413f4413        storm               47.20%              668.3MiB / 2GiB     32.63%              72.8MB / 2.74MB     663MB / 66.7MB      155
283acd69188f        kafka               1.05%               373.6MiB / 2GiB     18.24%              2.4MB / 4.38MB      61.5MB / 1.36MB     85
c841643e69d3        neo4j               0.32%               699.5MiB / 2GiB     34.16%              11.2kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.65%               55.29MiB / 2GiB     2.70%               12.8MB / 773kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.17%               52.66MiB / 2GiB     2.57%               48.8MB / 339kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.61%               55.43MiB / 2GiB     2.71%               13MB / 894kB        156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               72.04MiB / 2GiB     3.52%               54MB / 449kB        549MB / 15.8MB      6
ea2d413f4413        storm               44.00%              668.4MiB / 2GiB     32.63%              73.2MB / 2.92MB     663MB / 66.9MB      155
283acd69188f        kafka               1.27%               373.9MiB / 2GiB     18.26%              2.58MB / 4.71MB     61.5MB / 1.41MB     85
c841643e69d3        neo4j               0.36%               699.5MiB / 2GiB     34.16%              11.2kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.41%               55.5MiB / 2GiB      2.71%               13MB / 840kB        4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.18%               52.69MiB / 2GiB     2.57%               51.4MB / 353kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.44%               55.88MiB / 2GiB     2.73%               13.2MB / 957kB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.02%               72.04MiB / 2GiB     3.52%               56.5MB / 462kB      549MB / 15.8MB      6
ea2d413f4413        storm               46.09%              670.3MiB / 2GiB     32.73%              73.5MB / 3.11MB     663MB / 67MB        155
283acd69188f        kafka               1.21%               374MiB / 2GiB       18.26%              2.77MB / 5.05MB     61.5MB / 1.46MB     85
c841643e69d3        neo4j               0.34%               699.5MiB / 2GiB     34.16%              11.2kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.76%               56.21MiB / 2GiB     2.74%               13.3MB / 906kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.17%               52.69MiB / 2GiB     2.57%               53.9MB / 367kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.66%               56.27MiB / 2GiB     2.75%               13.4MB / 1.02MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.18%               72.04MiB / 2GiB     3.52%               59.1MB / 478kB      549MB / 15.8MB      6
ea2d413f4413        storm               46.14%              670.7MiB / 2GiB     32.75%              73.8MB / 3.29MB     663MB / 67.2MB      155
283acd69188f        kafka               0.99%               374MiB / 2GiB       18.26%              2.95MB / 5.38MB     61.5MB / 1.5MB      85
c841643e69d3        neo4j               0.35%               699.5MiB / 2GiB     34.16%              11.3kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.42%               56.75MiB / 2GiB     2.77%               13.5MB / 973kB      4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.74MiB / 2GiB     2.72%               58.8MB / 411kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.40%               56.29MiB / 2GiB     2.75%               13.7MB / 1.09MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.19%               72.04MiB / 2GiB     3.52%               61.6MB / 494kB      549MB / 15.8MB      6
ea2d413f4413        storm               44.06%              670.8MiB / 2GiB     32.76%              74.2MB / 3.47MB     663MB / 67.4MB      155
283acd69188f        kafka               1.13%               374.4MiB / 2GiB     18.28%              3.13MB / 5.72MB     61.5MB / 1.55MB     85
c841643e69d3        neo4j               0.35%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.61%               56.86MiB / 2GiB     2.78%               13.7MB / 1.04MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.74MiB / 2GiB     2.72%               61.3MB / 430kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.42%               56.48MiB / 2GiB     2.76%               13.9MB / 1.16MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               72.08MiB / 2GiB     3.52%               66.5MB / 540kB      549MB / 15.8MB      6
ea2d413f4413        storm               41.22%              673.1MiB / 2GiB     32.86%              74.5MB / 3.66MB     663MB / 67.5MB      155
283acd69188f        kafka               1.01%               374.4MiB / 2GiB     18.28%              3.31MB / 6.05MB     61.5MB / 1.6MB      85
c841643e69d3        neo4j               0.40%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.39%               56.91MiB / 2GiB     2.78%               13.8MB / 1.11MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.74MiB / 2GiB     2.72%               63.8MB / 449kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.40%               56.6MiB / 2GiB      2.76%               14.1MB / 1.23MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.02%               72.08MiB / 2GiB     3.52%               69MB / 555kB        549MB / 15.8MB      6
ea2d413f4413        storm               71.12%              673.2MiB / 2GiB     32.87%              74.8MB / 3.84MB     663MB / 67.7MB      155
283acd69188f        kafka               1.30%               374.4MiB / 2GiB     18.28%              3.5MB / 6.39MB      61.5MB / 1.65MB     85
c841643e69d3        neo4j               0.29%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.41%               56.98MiB / 2GiB     2.78%               14MB / 1.17MB       4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.02%               55.8MiB / 2GiB      2.72%               68.7MB / 496kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.66%               56.73MiB / 2GiB     2.77%               14.3MB / 1.3MB      156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               72.08MiB / 2GiB     3.52%               71.5MB / 570kB      549MB / 15.8MB      6
ea2d413f4413        storm               44.84%              675.2MiB / 2GiB     32.97%              75.2MB / 4.02MB     663MB / 67.9MB      155
283acd69188f        kafka               1.05%               374.5MiB / 2GiB     18.28%              3.68MB / 6.73MB     61.5MB / 1.7MB      85
c841643e69d3        neo4j               0.30%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.64%               57.23MiB / 2GiB     2.79%               14.2MB / 1.25MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.01%               55.8MiB / 2GiB      2.72%               71.2MB / 511kB      0B / 15.8MB         6
7d71704d4fc3        producer3           0.39%               56.98MiB / 2GiB     2.78%               14.5MB / 1.36MB     156kB / 15.8MB      6
26b17bb4d32f        producer2           0.01%               68.76MiB / 2GiB     3.36%               76.4MB / 615kB      549MB / 15.8MB      6
ea2d413f4413        storm               43.45%              675.4MiB / 2GiB     32.98%              75.5MB / 4.21MB     663MB / 68MB        155
283acd69188f        kafka               1.68%               376.5MiB / 2GiB     18.38%              3.87MB / 7.07MB     61.5MB / 1.75MB     85
c841643e69d3        neo4j               0.34%               699.5MiB / 2GiB     34.16%              11.4kB / 11.8kB     28.7MB / 557kB      41
c715a2a42078        producer5           0.40%               57.55MiB / 2GiB     2.81%               14.4MB / 1.31MB     4.1kB / 15.8MB      6
0ac5449ff102        producer4           0.18%               55.8MiB / 2GiB      2.72%               73.9MB / 527kB      0B / 15.8MB         6
