CONTAINER ID        NAME                CPU %               MEM USAGE / LIMIT   MEM %               NET I/O             BLOCK I/O           PIDS
c715a2a42078        producer5           0.01%               65.48MiB / 2GiB     3.20%               18.7MB / 5.17MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.1MB / 4.82MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               51.80%              1.691GiB / 2GiB     84.54%              309MB / 180MB       665MB / 92.7MB      158
283acd69188f        kafka               1.23%               946.2MiB / 2GiB     46.20%              37.1MB / 62.1MB     61.6MB / 8.61MB     85
c841643e69d3        neo4j               144.80%             779.6MiB / 2GiB     38.07%              145MB / 204MB       28.8MB / 872MB      44
c715a2a42078        producer5           0.29%               65.45MiB / 2GiB     3.20%               18.7MB / 5.19MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.4MiB / 2GiB      3.10%               17.1MB / 4.84MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.43%              1.697GiB / 2GiB     84.85%              311MB / 182MB       665MB / 92.9MB      158
283acd69188f        kafka               1.37%               946.2MiB / 2GiB     46.20%              37.3MB / 62.5MB     61.6MB / 8.66MB     85
c841643e69d3        neo4j               82.70%              779.6MiB / 2GiB     38.07%              146MB / 206MB       28.8MB / 880MB      44
c715a2a42078        producer5           0.04%               65.5MiB / 2GiB      3.20%               18.7MB / 5.21MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.2MB / 4.87MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               65.30%              1.7GiB / 2GiB       85.01%              313MB / 183MB       665MB / 93.1MB      158
283acd69188f        kafka               1.16%               946.2MiB / 2GiB     46.20%              37.6MB / 62.9MB     61.6MB / 8.71MB     85
c841643e69d3        neo4j               92.20%              779.4MiB / 2GiB     38.06%              148MB / 207MB       28.8MB / 888MB      44
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.7MB / 5.23MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.25%               63.42MiB / 2GiB     3.10%               17.2MB / 4.89MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               48.15%              1.704GiB / 2GiB     85.18%              315MB / 184MB       665MB / 93.3MB      158
283acd69188f        kafka               1.23%               946.2MiB / 2GiB     46.20%              37.8MB / 63.3MB     61.6MB / 8.76MB     85
c841643e69d3        neo4j               75.27%              779.6MiB / 2GiB     38.06%              149MB / 209MB       28.8MB / 894MB      46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.7MB / 5.25MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.03%               63.45MiB / 2GiB     3.10%               17.2MB / 4.91MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               57.47%              1.706GiB / 2GiB     85.31%              316MB / 186MB       665MB / 93.5MB      158
283acd69188f        kafka               1.18%               946.2MiB / 2GiB     46.20%              38MB / 63.7MB       61.6MB / 8.81MB     85
c841643e69d3        neo4j               137.63%             779.7MiB / 2GiB     38.07%              150MB / 210MB       28.8MB / 899MB      46
c715a2a42078        producer5           0.01%               65.45MiB / 2GiB     3.20%               18.7MB / 5.29MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.2MB / 4.93MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               48.78%              1.709GiB / 2GiB     85.43%              318MB / 187MB       665MB / 93.6MB      158
283acd69188f        kafka               1.40%               946.2MiB / 2GiB     46.20%              38.3MB / 64.1MB     61.6MB / 8.86MB     85
c841643e69d3        neo4j               126.35%             779.9MiB / 2GiB     38.08%              151MB / 212MB       28.8MB / 909MB      46
c715a2a42078        producer5           0.25%               65.46MiB / 2GiB     3.20%               18.7MB / 5.31MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.2MB / 4.95MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               53.45%              1.711GiB / 2GiB     85.57%              321MB / 189MB       665MB / 93.8MB      158
283acd69188f        kafka               1.31%               946.2MiB / 2GiB     46.20%              38.5MB / 64.4MB     61.6MB / 8.9MB      85
c841643e69d3        neo4j               83.74%              779.9MiB / 2GiB     38.08%              153MB / 214MB       28.8MB / 917MB      47
c715a2a42078        producer5           0.03%               65.45MiB / 2GiB     3.20%               18.7MB / 5.33MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.2MB / 4.97MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               46.27%              1.715GiB / 2GiB     85.77%              323MB / 191MB       665MB / 94MB        158
283acd69188f        kafka               1.33%               946.2MiB / 2GiB     46.20%              38.7MB / 64.8MB     61.6MB / 8.95MB     85
c841643e69d3        neo4j               0.27%               779.8MiB / 2GiB     38.07%              154MB / 215MB       28.8MB / 924MB      46
c715a2a42078        producer5           0.03%               65.45MiB / 2GiB     3.20%               18.7MB / 5.35MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.2MB / 4.99MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.42%              1.717GiB / 2GiB     85.87%              324MB / 192MB       665MB / 94.2MB      158
283acd69188f        kafka               1.24%               946.2MiB / 2GiB     46.20%              38.9MB / 65.2MB     61.6MB / 9MB        85
c841643e69d3        neo4j               71.45%              780MiB / 2GiB       38.08%              155MB / 216MB       28.8MB / 927MB      46
c715a2a42078        producer5           0.03%               65.48MiB / 2GiB     3.20%               18.8MB / 5.37MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.2MB / 5.01MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               51.90%              1.722GiB / 2GiB     86.11%              326MB / 193MB       665MB / 94.3MB      158
283acd69188f        kafka               1.23%               946.3MiB / 2GiB     46.21%              39.2MB / 65.6MB     61.6MB / 9.05MB     85
c841643e69d3        neo4j               83.54%              780.1MiB / 2GiB     38.09%              156MB / 217MB       28.8MB / 932MB      46
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.39MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.29%               63.46MiB / 2GiB     3.10%               17.2MB / 5.03MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               52.93%              1.727GiB / 2GiB     86.36%              327MB / 194MB       665MB / 94.5MB      158
283acd69188f        kafka               1.39%               946.4MiB / 2GiB     46.21%              39.4MB / 65.9MB     61.6MB / 9.1MB      85
c841643e69d3        neo4j               82.20%              780.4MiB / 2GiB     38.10%              157MB / 219MB       28.8MB / 947MB      47
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.41MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.03%               63.46MiB / 2GiB     3.10%               17.2MB / 5.05MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.89%              1.73GiB / 2GiB      86.48%              329MB / 195MB       665MB / 94.7MB      158
283acd69188f        kafka               1.33%               946.3MiB / 2GiB     46.21%              39.6MB / 66.3MB     61.6MB / 9.15MB     85
c841643e69d3        neo4j               0.33%               780.2MiB / 2GiB     38.09%              158MB / 220MB       28.8MB / 951MB      47
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.42MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.03%               63.45MiB / 2GiB     3.10%               17.2MB / 5.07MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               46.07%              1.733GiB / 2GiB     86.67%              331MB / 196MB       665MB / 94.9MB      158
283acd69188f        kafka               1.32%               946.3MiB / 2GiB     46.21%              39.8MB / 66.7MB     61.6MB / 9.2MB      85
c841643e69d3        neo4j               0.31%               786.1MiB / 2GiB     38.38%              159MB / 223MB       28.8MB / 957MB      48
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.44MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.2MB / 5.09MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               51.49%              1.736GiB / 2GiB     86.80%              332MB / 198MB       665MB / 95MB        158
283acd69188f        kafka               1.42%               946.3MiB / 2GiB     46.21%              40.1MB / 67.1MB     61.6MB / 9.24MB     85
c841643e69d3        neo4j               150.89%             785.7MiB / 2GiB     38.37%              160MB / 224MB       28.8MB / 964MB      47
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.46MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.2MB / 5.12MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               51.62%              1.739GiB / 2GiB     86.97%              334MB / 199MB       665MB / 95.2MB      158
283acd69188f        kafka               1.26%               946.3MiB / 2GiB     46.21%              40.3MB / 67.5MB     61.6MB / 9.29MB     85
c841643e69d3        neo4j               104.20%             785.7MiB / 2GiB     38.36%              161MB / 226MB       28.8MB / 969MB      46
c715a2a42078        producer5           0.28%               65.46MiB / 2GiB     3.20%               18.8MB / 5.48MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.2MB / 5.13MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               56.12%              1.741GiB / 2GiB     87.07%              335MB / 200MB       665MB / 95.4MB      158
283acd69188f        kafka               1.16%               946.3MiB / 2GiB     46.21%              40.5MB / 67.9MB     61.6MB / 9.34MB     85
c841643e69d3        neo4j               55.78%              785.6MiB / 2GiB     38.36%              162MB / 227MB       28.8MB / 973MB      45
c715a2a42078        producer5           0.02%               65.48MiB / 2GiB     3.20%               18.8MB / 5.5MB      4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.25%               63.56MiB / 2GiB     3.10%               17.2MB / 5.15MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               44.32%              1.743GiB / 2GiB     87.14%              337MB / 201MB       665MB / 95.6MB      158
283acd69188f        kafka               1.42%               946.3MiB / 2GiB     46.21%              40.8MB / 68.2MB     61.6MB / 9.39MB     85
c841643e69d3        neo4j               0.35%               785.6MiB / 2GiB     38.36%              163MB / 228MB       28.8MB / 978MB      45
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.52MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.03%               63.45MiB / 2GiB     3.10%               17.2MB / 5.17MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               43.49%              1.745GiB / 2GiB     87.23%              338MB / 202MB       665MB / 95.8MB      158
283acd69188f        kafka               1.18%               946.3MiB / 2GiB     46.21%              41MB / 68.6MB       61.6MB / 9.45MB     85
c841643e69d3        neo4j               0.30%               785.6MiB / 2GiB     38.36%              163MB / 229MB       28.8MB / 982MB      45
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.54MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.2MB / 5.19MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               45.06%              1.746GiB / 2GiB     87.32%              340MB / 203MB       665MB / 95.9MB      158
283acd69188f        kafka               1.93%               946.3MiB / 2GiB     46.21%              41.2MB / 69MB       61.6MB / 9.49MB     85
c841643e69d3        neo4j               92.33%              785.9MiB / 2GiB     38.37%              164MB / 230MB       28.8MB / 987MB      45
c715a2a42078        producer5           0.30%               65.59MiB / 2GiB     3.20%               18.8MB / 5.56MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.2MB / 5.22MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.73%              1.749GiB / 2GiB     87.46%              342MB / 205MB       665MB / 96.1MB      158
283acd69188f        kafka               1.04%               946.3MiB / 2GiB     46.21%              41.4MB / 69.4MB     61.6MB / 9.54MB     85
c841643e69d3        neo4j               84.99%              786MiB / 2GiB       38.38%              166MB / 232MB       28.8MB / 997MB      46
c715a2a42078        producer5           0.03%               65.48MiB / 2GiB     3.20%               18.8MB / 5.58MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.2MB / 5.24MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               48.23%              1.752GiB / 2GiB     87.58%              344MB / 206MB       665MB / 96.3MB      158
283acd69188f        kafka               1.15%               946.3MiB / 2GiB     46.21%              41.7MB / 69.8MB     61.6MB / 9.58MB     85
c841643e69d3        neo4j               163.49%             786.2MiB / 2GiB     38.39%              167MB / 234MB       28.8MB / 1GB        46
c715a2a42078        producer5           0.03%               65.48MiB / 2GiB     3.20%               18.8MB / 5.61MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.26%               63.43MiB / 2GiB     3.10%               17.2MB / 5.28MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.52%              1.753GiB / 2GiB     87.67%              346MB / 208MB       665MB / 96.5MB      158
283acd69188f        kafka               1.14%               946.3MiB / 2GiB     46.21%              41.9MB / 70.2MB     61.6MB / 9.63MB     85
c841643e69d3        neo4j               127.09%             786.2MiB / 2GiB     38.39%              169MB / 236MB       28.8MB / 1.01GB     46
c715a2a42078        producer5           0.01%               65.45MiB / 2GiB     3.20%               18.8MB / 5.64MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.2MB / 5.29MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.6MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               48.98%              1.757GiB / 2GiB     87.84%              349MB / 210MB       665MB / 96.6MB      158
283acd69188f        kafka               1.44%               946.4MiB / 2GiB     46.21%              42.2MB / 70.6MB     61.6MB / 9.69MB     85
c841643e69d3        neo4j               84.96%              787.8MiB / 2GiB     38.47%              170MB / 238MB       28.8MB / 1.02GB     45
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.66MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.26%               63.46MiB / 2GiB     3.10%               17.3MB / 5.31MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               44.42%              1.759GiB / 2GiB     87.96%              351MB / 212MB       665MB / 96.8MB      158
283acd69188f        kafka               1.60%               946.3MiB / 2GiB     46.21%              42.4MB / 70.9MB     61.6MB / 9.74MB     85
c841643e69d3        neo4j               40.63%              787.7MiB / 2GiB     38.46%              172MB / 240MB       28.8MB / 1.03GB     45
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.68MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.28%               63.43MiB / 2GiB     3.10%               17.3MB / 5.33MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               49.23%              1.761GiB / 2GiB     88.07%              352MB / 213MB       665MB / 97MB        158
283acd69188f        kafka               1.32%               946.3MiB / 2GiB     46.21%              42.6MB / 71.3MB     61.6MB / 9.79MB     85
c841643e69d3        neo4j               76.35%              787.8MiB / 2GiB     38.47%              173MB / 241MB       28.8MB / 1.04GB     45
c715a2a42078        producer5           0.01%               65.46MiB / 2GiB     3.20%               18.8MB / 5.69MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.45MiB / 2GiB     3.10%               17.3MB / 5.35MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               41.79%              1.765GiB / 2GiB     88.27%              354MB / 214MB       665MB / 97.2MB      158
283acd69188f        kafka               1.32%               946.3MiB / 2GiB     46.21%              42.8MB / 71.7MB     61.6MB / 9.83MB     85
c841643e69d3        neo4j               131.27%             787.9MiB / 2GiB     38.47%              173MB / 242MB       28.8MB / 1.04GB     45
c715a2a42078        producer5           0.01%               65.45MiB / 2GiB     3.20%               18.8MB / 5.71MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.3MB / 5.37MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               45.89%              1.771GiB / 2GiB     88.53%              356MB / 216MB       665MB / 97.3MB      158
283acd69188f        kafka               1.49%               946.3MiB / 2GiB     46.21%              43.1MB / 72.1MB     61.6MB / 9.88MB     85
c841643e69d3        neo4j               138.44%             788.1MiB / 2GiB     38.48%              175MB / 244MB       28.8MB / 1.05GB     46
c715a2a42078        producer5           0.28%               65.51MiB / 2GiB     3.20%               18.8MB / 5.75MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.3MB / 5.39MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               47.49%              1.774GiB / 2GiB     88.68%              357MB / 217MB       665MB / 97.5MB      158
283acd69188f        kafka               1.29%               946.3MiB / 2GiB     46.21%              43.3MB / 72.5MB     61.6MB / 9.92MB     85
c841643e69d3        neo4j               85.61%              788.2MiB / 2GiB     38.49%              176MB / 245MB       28.8MB / 1.05GB     45
c715a2a42078        producer5           0.27%               65.51MiB / 2GiB     3.20%               18.8MB / 5.77MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.43MiB / 2GiB     3.10%               17.3MB / 5.41MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               49.88%              1.776GiB / 2GiB     88.81%              360MB / 219MB       665MB / 97.7MB      158
283acd69188f        kafka               1.19%               946.3MiB / 2GiB     46.21%              43.5MB / 72.9MB     61.6MB / 9.97MB     85
c841643e69d3        neo4j               165.76%             788.4MiB / 2GiB     38.50%              177MB / 247MB       28.8MB / 1.07GB     46
c715a2a42078        producer5           0.27%               65.5MiB / 2GiB      3.20%               18.8MB / 5.79MB     4.1kB / 15.8MB      8
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.3MB / 5.43MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.01%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               43.08%              1.78GiB / 2GiB      88.98%              362MB / 220MB       665MB / 97.9MB      158
283acd69188f        kafka               1.32%               946.3MiB / 2GiB     46.21%              43.8MB / 73.2MB     61.6MB / 10MB       85
c841643e69d3        neo4j               35.00%              788.3MiB / 2GiB     38.49%              179MB / 249MB       28.8MB / 1.08GB     46
c715a2a42078        producer5           0.04%               65.46MiB / 2GiB     3.20%               18.9MB / 5.81MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.01%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.01%               63.42MiB / 2GiB     3.10%               17.3MB / 5.45MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               48.54%              1.782GiB / 2GiB     89.08%              363MB / 221MB       665MB / 98.1MB      158
283acd69188f        kafka               1.22%               946.3MiB / 2GiB     46.21%              44MB / 73.6MB       61.6MB / 10.1MB     85
c841643e69d3        neo4j               12.00%              788.5MiB / 2GiB     38.50%              180MB / 250MB       28.8MB / 1.08GB     46
c715a2a42078        producer5           0.03%               65.5MiB / 2GiB      3.20%               18.9MB / 5.83MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.02%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.03%               63.42MiB / 2GiB     3.10%               17.3MB / 5.47MB     156kB / 15.8MB      7
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               46.58%              1.785GiB / 2GiB     89.25%              365MB / 223MB       665MB / 98.2MB      158
283acd69188f        kafka               1.18%               946.3MiB / 2GiB     46.21%              44.2MB / 74MB       61.6MB / 10.1MB     85
c841643e69d3        neo4j               0.34%               788.3MiB / 2GiB     38.49%              181MB / 251MB       28.8MB / 1.09GB     45
c715a2a42078        producer5           0.01%               65.5MiB / 2GiB      3.20%               18.9MB / 5.85MB     4.1kB / 15.8MB      7
0ac5449ff102        producer4           0.11%               102.1MiB / 2GiB     4.98%               132MB / 669MB       0B / 15.8MB         6
7d71704d4fc3        producer3           0.25%               63.4MiB / 2GiB      3.10%               17.3MB / 5.49MB     156kB / 15.8MB      8
26b17bb4d32f        producer2           0.02%               127.5MiB / 2GiB     6.23%               129MB / 657MB       595MB / 15.8MB      6
ea2d413f4413        storm               50.30%              1.787GiB / 2GiB     89.33%              366MB / 224MB       665MB / 98.4MB      158
283acd69188f        kafka               1.40%               946.4MiB / 2GiB     46.21%              44.4MB / 74.4MB     61.6MB / 10.2MB     85
c841643e69d3        neo4j               43.62%              788.4MiB / 2GiB     38.50%              181MB / 252MB       28.8MB / 1.09GB     45
c715a2a42078        producer5           0.01%               65.48MiB / 2GiB     3.20%               18.9MB / 5.87MB     4.1kB / 15.8MB      7
